coin,fundingRate,premium,time,datetime
BTC,0.0000125,0.000061264,1757980800021,2025-09-16 00:00:00.021
BTC,0.0000125,0.000087117,1757984400020,2025-09-16 01:00:00.020
BTC,0.0000125,0.0001298011,1757988000103,2025-09-16 02:00:00.103
BTC,0.0000125,0.0000737863,1757991600020,2025-09-16 03:00:00.020
BTC,0.0000125,0.0000678436,1757995200055,2025-09-16 04:00:00.055
BTC,0.0000125,0.0000603442,1757998800033,2025-09-16 05:00:00.033
BTC,0.0000125,0.0000960484,1758002400000,2025-09-16 06:00:00.000
BTC,0.0000125,0.0000698768,1758006000117,2025-09-16 07:00:00.117
BTC,0.0000125,0.0000572761,1758009600093,2025-09-16 08:00:00.093
BTC,0.0000125,0.0000322138,1758013200063,2025-09-16 09:00:00.063
BTC,0.0000125,0.0000554425,1758016800055,2025-09-16 10:00:00.055
BTC,0.0000125,0.0000423609,1758020400005,2025-09-16 11:00:00.005
BTC,0.0000125,0.0000434974,1758024000032,2025-09-16 12:00:00.032
BTC,0.0000125,0.0000326879,1758027600053,2025-09-16 13:00:00.053
BTC,0.0000125,0.000103812,1758031200018,2025-09-16 14:00:00.018
BTC,0.0000125,0.0001290263,1758034800026,2025-09-16 15:00:00.026
BTC,0.0000125,0.0001443338,1758038400021,2025-09-16 16:00:00.021
BTC,0.0000125,0.0000145416,1758042000002,2025-09-16 17:00:00.002
BTC,0.0000125,-0.0000490167,1758045600032,2025-09-16 18:00:00.032
BTC,0.0000125,-0.0001816211,1758049200049,2025-09-16 19:00:00.049
BTC,0.0000125,-0.0002509699,1758052800044,2025-09-16 20:00:00.044
BTC,0.0000125,-0.0002540621,1758056400073,2025-09-16 21:00:00.073
BTC,0.0000125,-0.0002230728,1758060000078,2025-09-16 22:00:00.078
BTC,0.0000125,-0.0002282638,1758063600027,2025-09-16 23:00:00.027
BTC,0.0000125,-0.0002470451,1758067200089,2025-09-17 00:00:00.089
BTC,0.0000125,-0.0003745026,1758070800035,2025-09-17 01:00:00.035
BTC,0.0000125,-0.0003724652,1758074400074,2025-09-17 02:00:00.074
BTC,0.0000125,-0.0003701697,1758078000013,2025-09-17 03:00:00.013
BTC,-0.0000010428,-0.0005083425,1758081600030,2025-09-17 04:00:00.030
BTC,-0.0000054547,-0.0005436377,1758085200084,2025-09-17 05:00:00.084
